,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
44527,6105,SKBQ,medium_airport,Ernesto Cortissoz International Airport,10.8896,-74.7808,98.0,SA,CO,CO-ATL,Barranquilla,yes,SKBQ,BAQ,BAQ,,http://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,
44529,6106,SKBS,medium_airport,José Celestino Mutis Airport,6.20292,-77.3947,80.0,SA,CO,CO-CHO,Bahía Solano,yes,SKBS,BSC,BSC,,http://en.wikipedia.org/wiki/Jos%C3%A9_Celestino_Mutis_Airport,
44530,6107,SKBU,medium_airport,Gerardo Tobar López Airport,3.81963,-76.9898,48.0,SA,CO,CO-VAC,Buenaventura,yes,SKBU,BUN,BUN,,http://en.wikipedia.org/wiki/Gerardo_Tobar_L%C3%B3pez_Airport,
44533,6108,SKCC,medium_airport,Camilo Daza International Airport,7.927569999999999,-72.5115,1096.0,SA,CO,CO-NSA,Cúcuta,yes,SKCC,CUC,CUC,,http://en.wikipedia.org/wiki/Camilo_Daza_International_Airport,
44535,6109,SKCG,medium_airport,Rafael Nuñez International Airport,10.4424,-75.513,4.0,SA,CO,CO-BOL,Cartagena,yes,SKCG,CTG,CTG,,http://en.wikipedia.org/wiki/Rafael_N%C3%BA%C3%B1ez_International_Airport,
44538,6110,SKCL,medium_airport,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,3162.0,SA,CO,CO-VAC,Cali,yes,SKCL,CLO,CLO,,http://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport,
44541,6112,SKCO,medium_airport,La Florida Airport,1.8144200000000001,-78.7492,8.0,SA,CO,CO-NAR,Tumaco,yes,SKCO,TCO,TCO,,http://en.wikipedia.org/wiki/La_Florida_Airport_(Colombia),
44544,6113,SKCU,medium_airport,Juan H White Airport,7.96847,-75.1985,174.0,SA,CO,CO-ANT,Caucasia,no,SKCU,CAQ,CAQ,,http://en.wikipedia.org/wiki/Juan_H._White_Airport,Caucasia Airport
44545,6114,SKCV,medium_airport,Coveñas Airport,9.40092,-75.6913,31.0,SA,CO,CO-SUC,Coveñas,no,SKCV,CVE,CVE,,,
44546,6115,SKCZ,medium_airport,Las Brujas Airport,9.33274,-75.2856,528.0,SA,CO,CO-SUC,Corozal,yes,SKCZ,CZU,CZU,,http://en.wikipedia.org/wiki/Las_Brujas_Airport_(Colombia),
44547,6116,SKEB,medium_airport,El Bagre Airport,7.59647,-74.8089,180.0,SA,CO,CO-ANT,El Bagre,no,SKEB,EBG,EBG,,http://en.wikipedia.org/wiki/El_Bagre_Airport,El Tomin Airport
44548,6117,SKEJ,medium_airport,Yariguíes Airport,7.02433,-73.8068,412.0,SA,CO,CO-SAN,Barrancabermeja,yes,SKEJ,EJA,EJA,,http://en.wikipedia.org/wiki/Yarigu%C3%ADes_Airport,
44549,6118,SKFL,medium_airport,Gustavo Artunduaga Paredes Airport,1.5891899999999999,-75.5644,803.0,SA,CO,CO-CAQ,Florencia,yes,SKFL,FLA,FLA,,http://en.wikipedia.org/wiki/Gustavo_Artunduaga_Paredes_Airport,
44554,6120,SKGI,medium_airport,Santiago Vila Airport,4.2762400000000005,-74.7967,900.0,SA,CO,CO-CUN,Girardot,no,SKGI,GIR,GIR,,http://en.wikipedia.org/wiki/Santiago_Vila_Airport,
44555,6121,SKGO,medium_airport,Santa Ana Airport,4.75818,-75.9557,2979.0,SA,CO,CO-VAC,Cartago,yes,SKGO,CRC,CRC,,http://en.wikipedia.org/wiki/Santa_Ana_Airport_(Colombia),
44556,6122,SKGP,medium_airport,Juan Casiano Airport,2.57013,-77.8986,164.0,SA,CO,CO-CAU,Guapi,yes,SKGP,GPI,GPI,,http://en.wikipedia.org/wiki/Glacier_Park_International_Airport,
44561,6124,SKIB,medium_airport,Perales Airport,4.42161,-75.1333,2999.0,SA,CO,CO-TOL,Ibagué,yes,SKIB,IBE,IBE,,http://en.wikipedia.org/wiki/Perales_Airport,
44564,6126,SKIP,medium_airport,San Luis Airport,0.861925,-77.6718,9765.0,SA,CO,CO-NAR,Ipiales,yes,SKIP,IPI,IPI,,http://en.wikipedia.org/wiki/San_Luis_Airport_(Colombia),
44567,6127,SKLC,medium_airport,Antonio Roldan Betancourt Airport,7.811960000000001,-76.7164,46.0,SA,CO,CO-ANT,Carepa,yes,SKLC,APO,APO,,http://en.wikipedia.org/wiki/Antonio_Rold%C3%A1n_Betancourt_Airport,
44569,6129,SKLM,medium_airport,Jorge Isaac Airport,11.2325,-72.4901,281.0,SA,CO,CO-LAG,La Mina-Maicao,no,SKLM,MCJ,LMA,,http://en.wikipedia.org/wiki/Jorge_Isaacs_Airport,
