,Sentence
227,still garbage seat pocket lunch almost edible wifi remains far great human component service genuíne professional
228,aa 262 b737 rsw dfw 1st november 2014 good flight first class comfortable seat food surprisingly good short flight personal ife seat good us airways a320
229,flew ord sdf first class great flight quite new aircraft
230,service excellent first class seating comfortable 1x2 configuration
231,hour long flight departed time pre flight cocktails additional cocktails snacks offered airborne
232,crew professional attentive throughout flight
233,shanghai tokyo ana nice airline think best japan
234,service good food nice
235,plane clean tidy inflight entertainment good well
236,really think airlines good airline take going japan
237,ana flight kansai shanghai pudong delayed heavy snow osaka cabin attendants tried make comfortable
238,meal served good ife enough 2hour flight
239,found cabin air dry need drink beverage prevent dehydration
240,sinhnd nrtsin overall service good usual seat truly uncomfortable instead normal design reclining seat seat quite different resulted less frontal space
241,pekkix great legroom seats ife 737700 anything write home though good enough 3 hour leg
242,cabin impeccable condition service quiet attentive polite
243,superb japanese lunch fine choice wines sakes shochus
244,flight antalya ankara flight time pleasant air crew passenger given snacks drinks unfortunately wanted tea crew milk disappointing used pegasus always milk tea
245,fraicn icnsyd return fraicn leg clean tidy 747s comfortable food service good seat comfort legroom felt better emirates
246,icnsyd leg old tired 777er terribly uncomfortable seats dirty upholstery stone age inflight entertainment 5 looped movies grainy screens smiling cabin staff saved day constant offers drinks responsive service
247,flew london manila manila korea leg short haul airbus entertainment
248,couldnt book inflight meals seating policy wanted seat wife two year old daughter away every leg journey delayed total journey time return journey nearly 31 hours
249,took long haul flight vienna bangkok vice versa 0212 13122013 complaints everything pretty good
250,seats bit narrow good fit service good food tasty entertainment ok flight smooth everything ok
251,madridbogotamadrid via medellin horrible flight delayed around 4 hours waiting plane due technical problems information issue people started complain
252,service unfriendly staff speak good english food bad plane uncomfortable long trip
253,baggage missing worst experience ever
254,cnfgru e195 pretty good quick flight came simple snack expensive due holiday dates also extra space seat pretty comfortable didnt want seat left available
255,comfortable seats nice service
256,downside long delay cnfssa staff explained everything got free lunch
257,✅ trip verified great attention detail staff really nice service comfortable bigger leg room comparison similar airlines like thai lion catering service really good regional airline although many choices hot meal relatively short flight tea coffee attention makes pleasant experience
258,flew route toreturn times plane late arrival totake luang prabang
259,appeared late arrivals routine
260,pointed service onboard flights excellent food drink quality
261,excellent service trips bangkok krabi return
262,efficient service included hot meal
263,aircraft clean cabin staff efficient friendly
264,several hours delayed samui bangkok
265,delay announced check elapsed
266,believe delayed us flight wasnt full want save fuel passenger expense
267,flight bangkokphuket found service excellent
268,food good quality would definitely choose bangkok airways
269,good airline friendly staff ontime good food free enough space legs nothing complain
270,nice experience biman bangladesh airlines
271,flight time plane clean enough
272,ife system enjoyed travel inflight magazine offered written bengali english
273,staff also nice
274,food good enough 40 minute flight
275,also used biman returning flight also good apart flight 15 minutes late
