,Sentence
4632,warm delay boarding
4633,seats really uncomfortable
4634,flight extremely late many board connections trans atlantic flights causing running airport make next flight
4636,worried making connection food flt
4637,flight delayed approximately 2 hours
4638,crew cery nice points négatifs
4639,check slow confused
4640,excellent service employee attitudes
4641,entertainment options bad food
4643,crew super nice points négatifs
4645,assigned seats family four kids
4646,movies unless cash visa machine ’ working
4647,crew great flight smooth
4648,great service reliable airline
4649,crew nice
4650,entertainment options long flight lacking
4651,everthing great service great
4652,crew friendly
4653,food good
4656,crew pleasant efficient performing duties meal choices good flights departed arrived time
4657,flight delayed hourpoints positifs
4658,help crew okay
4659,fact flight delayed hour
4660,boarding process awful montreal busss plain
4661,good entertainment system selection
4662,good flight paris points positifs
4663,food service good
4664,seats comfortable modern led panels date entertainment
4666,seat comfy crew great
4667,crew welcoming friendly
4669,comfortable plane friendly crew good snacks
4670,flight delayed hour advanced notice explanantions
4671,short flight overall good points positifs
4673,food ok points négatifs
4675,ticket agents idea ticket counter would 40 euros per checked bag plus 8 euros using charge card late boarding late takeoff
4676,flight delayed departing zagreb resulting missed connection frankfurt
4677,flight late 2 hours explanation clear info long flight delayed
4678,flight late departure 2 hrs
4679,poor food selection
4681,us got squeezed due late departure
4682,crew fantastic rush us passport check get us boarded
4683,flight time
4684,flight delayed almost two hours plane wasnt gate one bus provided transport everything board russian plane previously arrived russia
4685,flight slightly delayed operated smartwings
4686,delay 40min
4687,flight delayed
4688,boarding slow imagine points positifs
4689,space seats rows
4691,delay flight 3 hours
4692,delta crew great
4693,plane small board entertainment
4694,crew great comfortable cleanpoints négatifs
4695,one plane didnt tv screens backs seats would nice 1 hr 45 min flight
4696,missed connecting flight due previous flight delayed
4697,friendly crew
4698,tight plane late
4699,crew friendly cabin clean
4701,crew wonderful food great ride wonderful
4702,could sleep return flight woman travelling alone seated next young man plenty free seats rear guys spread among 3 seats sleeping
4703,already delayed flight crew nice
4704,flight late
4706,staff friendly attentive needs
4707,trip short food beverage service everyone every
4708,trip short entertainment service okaye
4710,flights came time crew friendly didnt pay extra luggage check comfortable seats
4711,friendly crew
4712,flight could ’ arrived time
4713,great cabin bags offered go holdpoints négatifs
4714,boarded time seemed take ages taxiing around lift hence delayed start late arrival already late evening flight
4716,excellent flight issue flight information captain spoken fast hard understand said
4717,please ask slow speech flight announcements cabin staff fine
4718,flight delayed 73 minutes takeoff
4719,seat comfortable food good
4720,late flight points positifs
4721,flight 2h15 minutes late without explanation
4722,young enthusiastic crew worked hard make crowded flight good experience
4724,great customer service
4726,lost baggage simple nonstop flight poor communication status
4727,staff crew great
4728,flight left 30 minutes late requiring us run zurich airport connecting flight
4729,cabin clean
4730,also appreciated flight arrived time
4731,flying time always late even one hour
4732,better seat food inflight entertainment lights long people sleep
4734,trip short however crew nice cooperative
4735,front seats made journey comfortable
4736,lagos cairo flight poor old plane 2hours delay cairo dubai better plane due delay initially another delay cairo
4737,crew good seats okpoints négatifs
4739,flight delayed crew helpful cabin entertainment system outdated totally broken seat
4741,flight 40 minutes late
4742,food meh seating cramped
4743,good quick service flight crew
4744,airline food really good one seemed really unsubstantial
4746,’ allow families board first flight hour delayed food horrible
4747,friendly crew
4748,good service pleasant flight
4749,seats crammed
4751,terminal corner airport food
4752,check staff horrible station manger check unppoints négatifs
4753,2 hrs delay top bad adirtude
4754,old airplane wifi
4755,old plane wifi power outlets
4756,seats horrible get like low low cost flight
4757,thank much emirates airline best
4758,seats comfortable
4759,old plane ace basic movie selection
4760,seats ’ comfortable
4761,service meals good
4763,general everything expected crew members even extra nice
4764,checking quite slow didnt seem like wanted helpful
4765,crew members helpful going brazil even way communicated rules always nice rude either
4767,crew nice helpful points négatifs
4768,timing delayed 20 minutes
4769,crew great
4770,food good seats quite comfortable crew awesome points négatifs
4771,entertainment great
4772,conformable quiet
4773,nothing nice flight
4774,crammed seats meh food first experience ethiopian wasnt great
4775,staff nice helpfulpoints négatifs
4776,extremely delayed
4777,average experience
4778,average experience
4780,flight entertainment system fantastic
4781,flight onboard wifi awesome able online flight lack level service expected
4782,everything flight fantastic except wifi kept dropping
4783,seats super comfortable time arrival
4784,food servings timings matched new york time zone
4785,crew great food great seat comfortable
4786,’ know could make long haul flight uncomfortable
4788,everything flight super late explanation whatsoever
4789,flight cancelled difficult rebooking
4790,late much information
4791,time flight friendly staffpoints positifs
4792,time flight friendly staff
4793,good airport nice crew
4795,flight delayed could check online home
4796,little delayed
4797,fligjt canceled bad customer support lost bag
4798,delayed information points négatifs
4799,another delayed eurowings flight stuttgart information provided
4800,board another flight delay caused miss flight
4801,delayed causing miss flights
4802,missed flight another flight delay
4803,flight attendants nice friendly
4804,seat comfortable
4805,good flight
4806,comfortable seat good storage lavatories clean big
4807,great service flight staff
4808,provide water service often long flights
4809,medical emergency crew took good care
4810,great entertainment pretty good food
4811,service okay nothing special
4812,flight great
4814,eva air excellent around airline
4815,ife onboard a321
4816,seats could comfortable
4817,theres reason 16 hour flight rows three seats barely room move stretch
4819,good service food nice
4820,sorry flight cancelled
4821,friendly people nice plane
4822,crew pleasant
4823,old plane seatback screens usb ports charging
4824,crew great
4826,leg room friendly crew good choices entertainment nice blankets
4827,flight delayed hour transfer helsinki easy made connect flight time boarding
4828,food ’ good would great pasta vegetarian option
4829,flight delayed hour
4830,fast good service
4831,great service coffs brisbane returnpoints positifs
4832,fairly comfortable plane good service service time fly
4833,flight great points positifs
4834,great customer service
4835,adelay 90 minutes flight didnt accurate time departion
4836,friendly staff good professional altitude communication delay arise apologies delays
4837,flights delayed
4838,crew friendly efficient clear giving information flight
4839,took quite take boarding understand weather ’ great sometimes flights delayed ’ helped
4840,great service
4841,service excellent
4842,great flight great checking
4843,fast efficient boarding
4844,late
4845,plane late making late next flight
4847,flight unfortunately delayed due technical issue staff friendly supportive despite communicating delay well passengers
4848,seat relatively comfortable
4849,delay mentioned
4850,friendly service
4851,delay times connections worst
4852,also fly dubai flight worst
4853,flydubai really uncomfortable seats
4854,staff accommodating nice
4855,helpfulness checkin staff running late due traffic accident
4856,best thing fly dubai kuwait standalone terminal
4857,late flight
4859,flight late 30mihutes explanation
4860,entertainment untrained crew lousy chair
4861,tight economy seat youre 6 foot tpoints négatifs
4863,crew nice ride smooth
4864,delayed hour
4865,wifi would nice
4866,seats comfortable took almost hour luggage come came different belt posted
4867,nothing flight cancelled
4868,flight cancelled could helped passengers find way continue destination
4869,seat comfort space could improved
4870,flight delayed 6 hours due pilot showing shift absolutely unacceptible
4871,crew fine
4873,delayed 45 minutes
4874,seat probably worst industry
4875,cabin crew great
4876,excellent flight garuda
4877,despite short delay fo boarding everythings great
4878,short delay boarding
4879,meal terrible
4882,best flight garuda usualpoints positifs
4883,food service excellent
4885,plane delayed
4886,landing bad weather excellent
4887,nice plane smooth flight
4888,boarding bit chaotic food average best
4889,overall good experience
4890,flight delayed 3 hrs
4892,poor communication delay well estimation delay
4893,flight delayed lot
4894,fly late 30 minutes
4896,airplanee accommodations comfortable service good
4899,food average
4900,first plane late boarding flying
4901,time made second flight also late
4902,lost hotel reservation heard flight late
4904,late arrival plane
4905,seat comfort basic services
4906,flight held back late arrival passengers resulted delay departure
4907,delay
4908,comfortable kind staff great amenities provided board
4909,seat super uncomfortable narrow
4910,leg room economy class would always much appreciated
4911,nice crew spoke english
4912,delayed would appreciated snacks
4913,food excellent
4914,flight attendants could friendly eye contact
4915,delayed flight terrible ride
4916,seating little tight
4918,crew super friendly
4919,crew service great
4920,free entertainment options
4922,could always use legroom
4923,hawaiian airlines good united worst airline ever
4924,crew good
4926,staff particularly friendly
4927,short flight fine
4928,friendly crew
4930,everything good good staff good servise
4931,late 2 hours
4932,old plane cramped
4933,food offered even tho real early flight
4934,friendly crew organized points négatifs
4935,wish ’ buy water entertainment lacked flight long
4936,budge airline uncomfortable seats
4938,im going take delay 6hourspoints négatifs
4939,could contact service team even hong kong office
4940,sent email let us know delay nothing
4941,cancelled flight please stop sending emails
4943,cabin clean welcoming
4944,cold food good compared similar airlines
4945,crew good food good points négatifs
4946,service ticket check counter good told bag good right final destination true pick recheck also transfer ticket done go customer service rebook ticket flight full go different time good experience
4947,flight delayed hour
4948,flight good legroom plane really comfortable food ok sone crew really excellent ok
4949,luggage come day late ho chi minh air port
4950,good flight
4951,nice kind crew board got free refreshment excellent value
4952,flight cancelled good thing helpful counter people able rebook mepoints négatifs
4953,flight cancelled extrmely short notice tried rebook flight later evening
4954,flight also delayed
4955,comfortable seats space better food
4956,lost flight airline delay paris
4957,missed connection delayed 20 hours final destination
4958,crew good
4959,seats confortable
4960,crew good
4961,seat ok comfortable
4962,late boarding late departure waited 30 minutes bags
4963,time friendly board crew
4964,little legroom im 1 82m give bag hold even though room overhead
4965,even free drink 2 5h flight
4967,boarding rushed seats uncomfortable
4968,great flight crew
4969,stewardess kept hitting husband due crammed seats could fit
4971,30 min delay boarding
4972,really friendly flight crew great talking kids
4973,seats uncomfortable better entertainment
4975,crew nice responsive
4976,ease boarding flight left dulles perfect time crowds gone
4977,great service late departure missed flight reykjavik 8 hours late arrival zurichpoints négatifs
4978,waiting us reykjavik get zurich less 8 hours late
4979,like flight comfortable lots options entertainment
4980,honestly probably best flight ever taken
4981,nice clean plane roomy plane first flight toronto
4982,great crew
4983,food uncomfortable cramped seats
4984,time comfortable seats friendly crew
4985,flight time
4986,crew professional
4987,crew friendly caring towarda patient
4988,delayed 30 mints
4990,flight delayed info
4991,friendly helpful flight attendants points négatifs
4992,seat cushion flattened otherwise nice flight
4995,delayed delayed points positifs
4997,missed appointment delayed usual
4998,narrow seats expensive uncomfortable points positifs
4999,survived flight little backpain one stiff butt cheek points négatifs
5000,legroom narrow seating meal expensive
5001,flight delayed 4 hourspoints négatifs
5002,flight delayed 4 times 4 hours original flight time
5004,plane late queues bali airport beyond belief
5005,delayed 1 hour
5006,flight delay
5007,flight late
5008,flight delayed 40 minutes passengers informed almost missed connection
5009,35 minute flight food entertainment complaints
5010,cancelled flight without told points négatifs
5011,cancelled flight without telling
5012,hunt airport attendant finally told 10 min departure cancelled
5013,bit late fine
5014,clean plane nice staff
5015,typical commuter flight delay
5016,desk agents efficient flight departed time
5017,late
5018,spacious seats others airlines free water tequila soft drinks snacks
5019,lot legs space
5020,price convinience seat comfortable
5021,friendly crew
5022,dirty 40 min late explanations
5023,flight mexico city delayed 30 min flight los cabo ’ delayed 60 min
5024,leg room friendly staff ’ go wrong free whisky
5025,flight time
5028,flight hour late airplane wasnt israir israeli pilots travel service airplane important israelis
5029,luggage delayed four days
5030,emirates flight nice
5032,good efficiency boarding good air entertainment points négatifs
5033,delayed hour already boarded
5034,crew professional attentive polite
5036,food dinner lunch spacious seats impressive beverage selection little would change
5037,small touches including coming cabin regularly delicious green tea made wonderful flight
5039,food service flight great
5040,boarding staff helpful friendly cabin crew also gpoints négatifs
5041,wanting transfer area kuwet airport aljazera area limited space comfortable passenger service available ’ like bus station
5042,u guys confirmed ticket went airport flight already cancelled
5043,flight late everyone flight given sandwich choice flight attendant said ticket didnt include food
5044,excellent ground staff amazing flight crew
5046,really old plane questionable maintenance
5048,’ 6 ’ tall seats short comfortable
5049,good experience
5050,old dirty plane
5051,business class seats bad shape broken
5052,food options bad tvs plane otherwise excellent flight seamless holiday transfer moment arrived
5053,nice plane well trained crew fly without doubt
5055,good round entertainment ’ short haul expected
5057,delayed boarding taking landing getting plane gate
5058,crew member good
5062,flight delayed hour
5063,flight entertainment great
5067,long flight like food provided
5068,connecting flight delayed spend 12 hours airport hotel voucher
5070,high charges extra baggage 15 kg rs 8500 bough extra ticket would cheaper around 5k statistically make sense transparent bought ticket us two different sets rules
5071,could left time 2 hours late leaveing nz
5073,delayed 2 hours
5074,seating comfortable
5075,seat comfortable
5076,good service staffpoints négatifs
5077,boarding delayed hour
5078,easy book check
5079,boarding delayed however poor communication staff regarding estimated delay
5080,flight time
5081,flight late departing
5082,crew efficient seating comfortable compared sporekl budget flights
5083,sorry say first airline would like service
5084,2 hours delay compensation points positifs
5085,staff explained reason delay planepoints négatifs
5086,information delay different delayed times indicated screensboarding passesetc
5088,least could offered bottle water compensate delay
5090,crews counter horrible flight delayed
5092,pillows flight nothing eat delay flight
5093,flight wanted order meal menu say meals international flights
5094,excellent crew customer service friendly accommodating
5095,great flight points positifs
5096,great quick flight jetstar pacific fantastic
5097,flight quick comfortable points négatifs
5098,flight delayed
5099,3 hours late due mechanical issue
5100,flight fine
5101,easy check online
5102,changed time flight without notifying us beforehand
5103,delayed crew
5104,delayed three hours
5105,comfortable seats
5106,delay japan korea 7 hours
5109,quite late
5110,crew social friendly
5111,great job long flight
5112,friendly service crewpoints négatifs
5113,seats small leg room
5114,delayed 2 hours staff accomodating staff dressed unprofessionally
5115,efficient checkin boarding procedure
5116,comfortable seats
5117,low cost time efficient good servicepoints positifs
5118,time low cost efficient quick boarding hot meal great service
5119,1 hour delay reason given
5120,limited flight options ok experiencepoints positifs
5121,time departure flight beverage service
5122,short slight two hours expect much comfortable aisle seat
5123,flight delayed hour missed connecting flight back us
5124,really great flying
5125,far uncomfortable crowded plane ’ ever taken
5126,crew fantastic
5127,food good well
5128,delay painful
5129,crew attentive professional
5130,service good flight smooth
5131,crew great seat wasnt comfortable didnt much leg room
5132,cabin crew nice points négatifs
5133,punctuality klm always late
5134,klm staff great
5135,flight cancelled
5136,klm great experience compared airitalia
5137,food good flight attendants helpful
5138,quickefficient boarding good staff good food easy flight
5139,connecting times klm seem close running late start may make next one
5140,long haul flight made pleasant klm
5141,seat window great staff really friendly courteous
5142,crew great food entertainment seat everything else great well
5143,seat super comfortable wheelchair perfect awesome
5144,economy class best experience mainly seats little roomy airlines ’ flown
5145,entertainment great small selection movies
5146,seats ’ comfy spacious would thought given korean air best economy liner times
5147,entertainment seats either
5149,serve water long flight
5150,food great
5151,plane clean
5152,crew super nice
5153,seats uncomfortable seats coach airlines
5154,great crew good food easy watch entertainment food better airlines
5155,always friendly comfortable seating
5156,need improve food qyality
5157,crew excellent food greatpoints négatifs
5158,boarding disorganized business class seats average screens small
5159,great service friendly crew
5160,food ok average nothing special
5161,efficient crew
5164,room around seat
5165,delayed communication airline
5166,easy check
5167,delay
5168,good service
5169,amazing trip crews courteous food good
5170,new plane clean good food decent
5171,flight delayed jfk without warning apparent reason crew jfk kuwait seemed always irritated asked anything like warm water headphones
5172,plane seemed new clean
5173,food okay
5174,one better crew flight delayed apparent reason wait 14monthold 5 hours
5175,good airline service needs improve
5176,good food decent service
5177,kuwait airways staff lahore airport horrible
5178,main things almost flight delay either going comingpoints positifs
5179,like keep flight time always delay scdule flights 2 flights either going kuwait kuwait doha points négatifs
5180,like flights always delay
5181,really great experience travel opportunity
5182,surprised nice staff
5183,seats comfortable pleasurable trip paris
5184,crew attentive professional
5186,time flight decent snack short flight
5187,entertainment usb charging ports working
5190,although trip 1 hour crew made time provide excellent service nice food box nice boarding beautiful sunset
5191,seat space padding charge soft drinks
5192,flight attendants rude lack cleaning toilets
5193,terrible food
5194,seats fairly comfortable
5195,amazing crew comfortable seat delicious food
5196,overall good experience
5197,flight left arrived time always nice
5198,seat little old cabin little smelly okay ac turned
5199,old aircraft business seat narrow
5200,crew good
5201,ground staff polite helpful
5202,flight departure delayed
5203,one bathroom order movie system work
5204,legroom plane good
5205,canin crew friendly service good
5206,flight generally comfortable
5207,flight delayed hour difficult ’ connecting flight catch
5208,flight late half hour
5209,flight delayed 10 hours little information available many stranded passengers left wondering several flights left time
5210,flight late wasnt enough information given
5213,always late delays flightspoints négatifs
5214,always experiencing delays poor quality customer service
5215,always delays flights dont good customer service
5216,great flight
5217,poor airline points positifs
5218,crew plane nice people points négatifs
5219,check mess sit plane uncomfortable
5220,time courteous flight attendants
5221,late little information providedpoints positifs
5222,crew helpful reassuring missed connection would handled
5223,flight staff professional accommodating
5224,flight delayed
5226,crew fine plain finepoints négatifs
5227,departure late one hour missed flight connection bulgaria
5228,crew helpful
5229,entertainment short flight
5230,plane old
5231,flight short crew nice
5232,entertainment short plane ride
5233,crew nice
5234,old plane
5235,food best airplane crew super nice accommodating airplane clean overall great experience
5236,flight got cancelled last minute information scarce
5238,crew excellent
5239,seat tight middle section middle seat
5240,flight paris warsaw number lo332 l delayed miss flight gdansk
5241,easy navigate crew speak english friendly
5242,check late efficient
5243,crew good seat could bit bigger economy class
5244,seat mate german asked german language crew member gave first class sendwich got cold nasty internet plane stop lying people
5245,great crew pleasant attentive
5246,best airline flown
5247,flight cancelled due technical problem missed connecting flight
5248,3 hours delay least notified ahead time
5249,crew professional polite
5250,friendly crew great food comfy seats
5251,delayed unloading upon arrival
5252,crew nice helpfull
5253,food drinks excellent pilots great job well
5254,crew pleasant attentivepoints positifs
5255,crew wonderful
5256,breakfast roll fresh
5258,crew extremely hospitable food excellent
5259,flight delay announcement could made much earlier
5260,delayed 15mins due heavy rain ok everything else point
5261,worst business class seat air
5263,seat back entertainment
5264,old plane
5265,cabin clean foot rest
5266,crew good service
5267,delayed hour
5268,nice experience overall
5269,flight quiet plenty personal space
5270,flight 5 hours delayed offered compensation extra meal
5272,flight entertainment movies
5273,cramped seats
5274,good service good plane
5275,3 security checks kl transit crew interested english speaking passengers company fly malindo choice
5277,flght departed late
5278,efficient friendly cabin ground crew quick delivery checked bags placed family together appreciated full flight
5279,flight delayed 2 half hours inconvenient
5280,cool plane see everything whole way staff friendly plane seats really comfortable
5282,crew friendly
5283,food good
5284,flight later seats comfortable
5285,flight good food delicious enjoy flight much thank
5287,lovely new airplane warm friendly service comfortable business class cabin
5288,staff friendly nice
5289,friendly staff fantastic views inter island flights
5290,beautiful flight great crewpoints positifs
5291,advantage smaller plane larger windows fantastic views flying islands hawaii
5293,great service
5294,friendly crew accommodating spite delay points négatifs
5295,delayed flight
5296,delayed departure hour without explanation
5298,flight 80 minutes late
5299,seats comfortable enough legroompoints négatifs
5301,best airlines fly yangon points négatifs
5302,aircraft insulation bad leg space wasnt great
5303,make flight first leg delayed
5304,rebooked late different airport without permission
5305,good food friendly crew newspaperspoints négatifs
5306,boarding announcement crew ’ offer beverages ask seats ’ comfortable difficult call outside asia
5308,great stuff comfortable seats im 185 height lost space legs
5309,tha flight delayed hour
5310,food wasnt great
5311,flight delayed 1 5 hours
5312,nice flight great service
5313,basic flight
5314,delay 1 45 hours without explainationpoints négatifs
5315,explanation long delay change gate dm airport
5316,nok air nice airline
5317,flight 2 hours late
5318,seat great course paid extra
5319,selection flight time leaving boston 11pm makes perfect long sleep without interruptions
5320,good crew comfortable seats premium cabinpoints négatifs
5321,boarding delayed flight entertainment oldmediocre
5322,left right time efficient service
5323,delay rude service ran food vegetarians
5325,fast boarding delay
5326,last row great recliner
5327,comfortable flight pleasant crew
5328,slight delay boarding
5329,staff friendly helpful
5331,lost luggage crew would let go restroom
5332,great flight great viewpoints positifs
5333,short sweet flight nice view islands along way
5334,accurate time flights nice team make boarding flight pleasant ones comfort chairs
5335,slept flight boarding okay
5336,food ok ample
5337,window seat bad stand frequently
5338,cramped leg room seperated wife
5339,space seat roll quite small
5340,poor service adhering time bad air conditioning
5341,poor service adhering time bad air conditioning
5342,immigration mct many flights time
5343,slow check kathmandu
5345,friendly staff many passengers
5346,got delayed one hour
5348,clearly cut leg room order add one two rows seats made entire flight uncomfortable
5349,ontime always late 30 min time
5350,crew great
5351,’ appreciate delay
5352,delayed flightstoo
5353,customer service excellent
5354,flight good time
5355,delayed flight 1 hr
5356,flight delay announcements easy unserarmtand timely
5357,gate vague plane 1 hour late one told us
5358,check arrival great problems
5359,brief delay 25 minutes
5360,flight davao manila delayed two hours result missed connecting flight manila bangkok airline took luggage plane left gate even though boarding pass next flight put us next flight two hours later result missed international flight bangkok tel aviv horrible airline never fly
5361,flight got delayed
5362,really easy experience friendly organized time great price
5363,nice fast plane ride
5366,nice low cost frills flight
5367,easy checkin great allowances hand baggage checked baggage
5368,flight delayed slightly probably fault airline
5369,seats comfortable
5370,1 hour delay nearly cost connection assistance provided
5371,1 hour late departure copenhagen connection spoints négatifs
5372,1 hour late departure copenhagen connection instanbul
5373,crew rude passengers
5374,difficulty online reservations airport check flight attendant comments flight worst flying experience 30 years
5375,staff friendly snacks generous short flight
5376,thank kindly wonderful customer service
5377,flight 4 hours late way boston 3 hours late return presque isle
5379,time crew great
5380,7 hour delay finally turned cancellation 9 hours
5381,waiting one sitting next great flight
5383,flight bar harbor boston cancelled nine hours departure
5384,offered alternate transportation bus would get destination time make connecting flights
5385,delayed hour zero communication
5386,first time flying great service
5387,didnt like 30min flight delay due traffic
5388,flight delayed workers helpful service horrible
5391,easy check time polite personnel
5392,late 6 hourspoints négatifs
5393,late 6 hours
5394,great flight great service
5395,business seat uncomfortable
5397,better snack leg room
5398,horrible airline
5399,tiny seats tiny people crappy food cold jet really low class airline
5400,always great service pal flights
5401,crew great
5402,’ appreciate delay
5403,great crew
5404,tight seats
5405,delayed 30min manila domestic terminal really bas
5406,clean plane nice team great job
5407,flight delayed hour
5408,four hour delay stuck board plane nothing drink
5409,airasia flights delayed even canceled otherwise points positifs
5410,price ok perfect timing kind staff
5411,flight delayed air asia flights
5412,seats space small
5413,50 minutes flight cabin crew nice seats leather comfortable points négatifs
5414,board fine flight delayed 27 minutes
5415,flight delayed plane changedpoints négatifs
5416,two hours late poor communication gate timing broken plane
5417,flight delayed hour
5418,2 hours delay changed gate twice
5419,first ever time air asia flight points positifs
5421,’ fly clark kl seat pitch excruciating average height people particularly four hour flight everything penny pinched crew verging brusque loud music boarding american rap music hardly appropriate south east asia airline
5422,flight delayed
5423,beverages variety snacks short flight impressive
5425,crew nice
5426,15 minutes late nice new clean plane points négatifs
5428,plane small noisy
5429,flight delayed
5430,flight fantastic
5431,good movies make quick trip
5432,good seats exit row
5433,food poor seat cramped seat front broken kept reclining
5434,flight time service smile
5435,staff great
5437,food poor quality
5439,sitting front isle seat leg room helpful nice sterward
5440,crew nice seat comfortablepoints négatifs
5441,crowded long flight
5442,seat narrow compare airlines
5443,seats narrow uncomfortable
5444,crew really good kept us informed delays happening remained upbeat chatty
5446,packed leg space
5447,nice crew great service
5448,slow boarding passengers stand queue late take
5449,nice aircraft crew supplies points négatifs
5450,flight delayed missed connecting flight stuck qatar 13 hours top 22 hour regular flight schedule
5451,seats comfortable
5452,food good
5453,luggage hasnt arrived due short layover due feact first leg plane late
5454,great selection movies food really good well
5455,flight fine problems occurred
5456,food consisted cookie drink fine short flight
5457,boarding slow agents lost delays
5458,crew tried makeup delayed time faster boarding
5459,flight delayed
5460,crew great job courteous friendly professional
5461,also pleasantly surprised see baggage fees
5462,nothing fine food shity
5463,crew average need respond well passengerspoints négatifs
5464,crew respond faster efficient beautiful smile
5465,worst airline cpanypoints positifs
5466,staff unwelcoming rude
5467,poor service
5468,overall communication service comfort poor checking arrival
5469,new plane good pilot smooth take offlandingpoints négatifs
5470,delayed departure long boarding process unfortunately entertainment system working
5471,good service good flight
5472,direct flight good timingspoints négatifs
5473,poor planes poor service bad food
5474,service poor flight got delayed
5475,plane plenty space 3 seats lay sleep brought food good decision smooth flight points négatifs
5476,personal tv broken limited communication delay gate takeoff
5477,nice flight comfortable extra leg room
5478,entertainment date crew striving help nice points négatifs
5479,boarding usually late
5480,airplane little bit old
5481,quick boarding time departure arrival
5482,awesome flight professional pilots indeed points négatifs
5483,leg room please
5484,flight attendants awesome undesrtanding
5485,open wifi ate kigali airport great
5486,friendly service
5487,service good delaypoints positifs
5488,good clean planes good servicepoints négatifs
5489,couple delay well communicated
5490,friendly staff decent snacks entertainment options
5491,decent service lacking organisationpoints positifs
5492,decent enough flight seats comfortable enough short haul ’ want go long haul seats good selection onboard snacks points négatifs
5493,flight half hour late priority seats reserved first seats plane rather scattered plane suitcases shouldnt allowed board take much space anyone else slow boarding plane people attempt haul stairs staff could polite less abrupt could attempt speak louder clearer
5494,dont mined flights long walk plane
5495,40min delayed flight
5497,leg room ive ever flight
5498,crew friendly points négatifs
5499,dirty broken tables cary luagge back pack smelly food small seats little legroom
5500,crew nice helpful seat confortable food dring good
5501,s7 checkin staff helpful friendly almost missed flight misleading information provided
5502,entertainment offered food wantedpoints positifs
5503,plane new crew pleasant flight easy
5504,flight time
5507,cancelled first flight unacceptable replacement points positifs
5508,late boarding otherwise goodpoints négatifs
5509,cancelled flight replaced flight 24 hours earlier would work due visa requirements
5510,late
5511,hour late departure besides screaming baby flight ok
5513,flight cancelled without explanation
5514,easy board time food good
5515,efficient friendly service
5516,economy food provided expected rate
5517,entertainment offered either
5518,service great flight time luggage came time
5519,great service flight time luggage time
5520,intensely disliked 3 hour delay copenhagen
5521,sas offered passengers transit meal voucher 50 danish kronas enough buy tall starbucks coffee drink enough eat anything airport
5522,great food service always
5523,flight delayed 1h 30min
5525,flight delayed 1 5 hrs
5527,music movie good
5528,2 hours delayed update softwarepoints positifs
5529,good flight points négatifs
5530,long delay
5532,didnt realise going poor airline booking singapore airlines website
5533,hardly space food options limited entertainment even charged water
5534,equal worst airline jetstar
5535,flight delayed 30 mins
5536,food excellent
5537,legroom good budget airlines
5539,early short flight friendly flight staff
5540,great flight
5541,flight delayed 5 hours real explanationpoints négatifs
5542,five hour delay without concrete information explanation
5544,flight delayed
5546,cancelled flight reason tried bump us 2 flights flight
5549,good food
5550,airline service bad
5551,inflight entertainment
5552,checkin boarding hasslefree efficient
5553,staff friendly accommodating
5554,food passable attendants quick refill water drinks
5555,full flight lot leg room tall people
5556,quiet redeye flight slept entire way
5557,ground crew employed china eastern failed give boarding passes connection jfk asked told get shanghai
5558,flight crew helpful
5559,friendly crew members
5560,flight smooth service personnel nice professional
5561,good price entertainment meals tasty
5562,cramped much television seat go far back enough sleep long flight
5566,crew skilled english comprehension pronunciation difficult communicate understand instructions
5567,flight also delayed hour could avoided airline staffed people checkin streamlined checkin process since bottleneck preventing passengers time
5568,excellent crew servicepoints positifs
5569,timeliness boarding polite helpful crew
5570,board crew excellent nice helpful receptive
5571,three hour delay flight 3u8720 15sep2016 lhasa chnegdu subsequently hotel transport arranged poor especially communication poor
5572,crew awesome
5573,old aircraft rattled whole timepoints négatifs
5574,one entrence get isle narrow business class little congested seatsby mistake left laptop singapre air immediately notified silkair agent checkin even though flight delay wait unable get hyderabad staff slow response wasted three days locate laptop overall extremely disappointing experience boarding post boardin handling silk air office aircraft agents hyderabad wish reviwed prior reviews silk air lost business never fly silk air
5575,many snack options
5576,service good
5577,travelling twins crew helpful
5578,food terrible silk air flight
5579,staff responsive food great
5580,would great seats leather plane would feel cleaner
5581,seats horrible lucky flight less two hours
5582,upgrade old planes make service low budget airline
5583,seats horrible
5584,crew gracious helpful
5585,would nice backup plan boarding system goes flight delayed
5586,flight attendant excellent
5587,super friendly crew
5588,friendly crew
5589,time flight
5590,smooth nice flight propeller plane old
5591,flight delayed nearly two hours
5592,great airline
5593,great staff service
5595,softer seats movies
5596,everything perfect flight
5597,satisfied service friendly staff overall satisfied
5598,cramped seats leg room horrible food stupid cold snack
5599,seat space could wider working
5601,better flight bigger craft neighbours row got sleep
5605,crew professional
5606,good service complaints
5607,crew nice landing smoothpoints négatifs
5608,little space seats
5609,great flight great price
5610,20 minute delay nobody gate communication leaving late
5611,good flight bit turbulent points positifs
5612,flight attendant nice
5613,flight time short
5614,flight hour delayed almost missed ferry connection
5615,excellent respecful staff
5616,flight delayed
5617,check flight ok everything run smoothly
5618,flight cancelled last minute
5619,flight delayed 8 hours reason given
5620,plane delayed hourpoints positifs
5621,short flight much share crew okpoints négatifs
5622,delayed hour
5623,1 hour delay ☹️
5625,legs room delay bording delay get praha
5626,flight late 1h
5627,time good service
5628,never flight little leg roompoints négatifs
5629,never flight little leg room
5630,flight left time crew nice points négatifs
5631,food entertainment didnt know like low cost flight
5633,good communication crew kind nice
