,cluster
1952,10
1953,3
1954,10
1955,10
1956,7
1957,9
1958,3
1959,1
1960,0
1961,6
1962,11
1963,0
1964,1
1965,8
1966,10
1967,8
1968,9
1969,9
1970,10
1971,0
1972,10
1973,3
1974,13
1975,7
1976,6
1977,4
1978,8
1979,0
1980,10
1981,0
1982,9
1983,7
1984,10
1985,9
1986,0
1987,10
1988,10
1989,15
1990,9
1991,3
1992,10
1993,10
1994,9
1995,15
1996,6
1997,9
1998,0
1999,3
2000,9
2001,9
2002,8
2003,6
2004,10
2005,9
2006,10
2007,9
2008,8
2009,9
2010,9
2011,3
2012,6
2013,9
2014,8
2015,9
2016,10
2017,3
2018,13
2019,6
2020,10
2021,0
2022,10
2023,10
2024,13
2025,15
2026,16
2027,9
2028,10
2029,10
2030,0
2031,10
2032,7
2033,10
2034,8
2035,6
2036,7
2038,10
2039,9
2040,9
2041,13
2042,11
2043,10
2044,7
2045,4
2046,0
2047,10
2048,2
2049,9
2050,8
2051,15
2052,10
2053,14
2054,10
2055,0
2056,10
2057,10
2058,15
2059,0
2060,15
2061,9
2062,5
2063,4
2064,10
2065,10
2066,9
2067,8
2068,10
2069,3
2070,0
2071,0
2072,8
2073,4
2074,0
2075,10
2076,12
2077,0
2078,3
2079,10
2080,10
2081,6
2082,15
2083,9
2084,6
2085,9
2086,8
2087,15
2088,6
2089,10
2090,10
2091,10
2092,15
2093,15
2094,13
2095,10
2096,12
2097,10
2098,10
2099,7
2100,0
2101,10
2102,4
2103,15
2104,8
2105,15
2106,8
2107,10
2108,4
2109,10
2110,9
2111,7
2112,8
2113,9
2114,10
2115,10
2116,6
2117,9
2118,10
2119,0
2120,15
2121,15
2122,0
2123,0
2124,16
2125,7
2126,10
2127,10
2128,4
2129,10
2130,15
2131,0
2132,7
2133,9
2134,13
2135,6
2136,14
2137,15
2138,7
2139,10
2140,8
2141,7
2142,6
2143,10
2144,3
2145,10
2146,10
2147,10
2148,10
2149,15
2150,0
2151,16
2152,7
2153,0
2154,10
2155,10
2156,9
2157,10
2158,8
2159,7
2160,7
2161,0
2162,10
2163,10
2164,14
2165,4
2166,3
2167,12
2168,7
2169,7
2170,10
2171,7
2172,10
2173,15
2174,5
2175,0
2176,15
2177,7
2178,10
2179,10
2180,10
2181,10
2182,0
2183,10
2184,0
2185,5
2186,5
2187,15
2188,15
2189,10
2190,3
2191,8
2192,10
2193,10
2194,14
2195,10
2196,10
2197,9
2198,16
2199,0
2200,10
2201,10
2202,10
2203,10
2204,0
2205,10
2206,10
2207,10
2208,10
2209,9
2210,0
2211,0
2212,10
2213,10
2214,3
2215,10
2216,15
2217,10
2218,10
2219,3
2220,4
2221,0
2222,15
2223,8
2224,14
2225,10
2226,8
2227,0
2228,3
2229,0
2230,10
2231,0
2232,10
2233,10
2234,9
2235,10
2236,10
2237,10
2238,10
2239,10
2240,7
2241,12
2242,4
2243,10
2244,7
2245,10
2246,10
2247,9
2248,10
2249,13
2250,15
