,data_clean
279,fly time blue1 cabin crew helpful friendly
280,plane good standard good leg room
281,addition check routine fast efficient matter
282,fly aberdeen esbjerg 2015 flight delay 45min snow ice aircraft bmi fault time offer drink food
283,flight 2015 time flight people snack box drink serve
284,good flight bit expensive company pay
285,trip verify flight delay hour nice boe 747 400 old boac retro colour seat wide comfortable plenty storage ife average food good generous portion stand high level service friendliness
286,british airway flight london gatwick paphos excellent check airport day minute day fast track security minute lounge
287,read review strike lucky sit library oasis calm service bar prompt food good good old lounge good
288,boarding quick efficient minute late crew friendly efficient drink service good food choice tasty land time passport baggage minute great start holiday
289,british airway domestic economy london heathrow edinburgh basically option route check quick frequent flier status downgrade week avail fast track security use north lounge
290,board quick flight depart time board service okay 1hr flight
291,drink snack serve arrival time
292,return early flight quick bag drop security bit slow use lounge board 767 depart time arrive early service okay breakfast serve drink crew miss appear grumpy later ask coffee
293,okay service expensive book short notice quickly
294,flight efficient boarding friendly greeting purser
295,flight crew update hold efficient adequate inflight service short domestic flight cabin interior immaculate
296,check baggage plane tube minute
297,fra lhr a319 sit plane gate minute runway close drink offer
298,veg meal wife bottle middle seat tray
299,land allegedly time excessive time schedule leg
300,gatwick florida return flight good attentive crew choice meal seatback screen small selection movie audio choice poor legroom lot good feel need update b777 route
301,return flight delay hour inform airline text email check vouch buy drink snack food return flight poor chicken pasta available breakfast consist stale croissant jam raisin bar virtually indelible consider fly florida price comparable carrier
302,brilliant service cabin crew captain officer delay lisbon lhr flight
303,question answer lisbon lhr flight heavily delay happen regularly flight lisbon remote boarding location poor management prior boarding
304,hour delay board handle brilliantly crew regular communication refreshment jovial atmosphere possible
305,face astonishingly poor lounge lisbon poor management boarding limp response question
306,flight 677 istanbul london heathrow club europe great flight wonderful crew club europe excellent service member crew update warm welcome
307,meal good great choice meal choose
308,flight crew professional quick serve meal clear away meal item
309,767 sign age prefer aircraft old style club europe seat compare new club europe roll like
310,wonderful flight great service ask great crew ask 767 old club europe
311,lhr sof lhr seat upgraded a320 direction check quick gallery lounge fine
312,depart time breakfast serve pretty nice crew room business class appear
313,return check quick security sofia slow lounge worth use
314,flight delay hour weather away decent meal serve nice crew land min late remote stand bag belt time reach
315,lhr sof lhr 27th feb 2nd mar seat a320 direction check quick use gallery south lounge good
316,board time departure arrival new business seat aircraft comfortable
317,food breakfast crew outbound good bag wait immigration sofia
318,return check quick security check slow lounge sofia dreadfully dull facility food drink passenger good use general airport facility
319,departure hour late arrival weather heathrow
320,crew great lunch serve
321,lpt lhr plane new good condition fantastic crew ask need fly certain
322,fly london heathrow singapore business class time impress cabin crew bare minimum away seating arrangement head thank goodness change seat prior flight sit outer seat bit narrow feel sorry people sit middle seat face stranger landing fly long haul route time year honestly experience wish fly
323,comfortable return flight hannover club europe
324,a319 appear new good food short flight good value
325,fly lcy mad business people cabin welcome pre drink poor service awful food warm drink turbulence air deal
326,overall poor service
327,pleasant quick minute hop heathrow brussel seat row greet friendly staff serve glass champagne takeoff time inflight service acceptable continental breakfast short flight champagne good option vegetarian special breakfast fruit plate
328,friendly discreet non intrusive service good land brussel minute ahead schedule
329,fly hcmc siem reap return quiet flight good expect receive bottle water guess usual short flight like
330,crew friendly
331,trip verify san francisco hyderabad hong kong slight delay apologize nicely onboard cx879 hong kong hospitality nice flight attendant stow luggage overhead compartment
332,nice airline
333,trip verify cathay pacific airway favorite airline fight day bangkok hong kong old aircraft comfortable seat
334,cabin crew kind helpful serve häagen daz icecream flight
335,verify review late departure sin p.m. flight mean late arrival hkg cause problem satisfactory flight tick box
336,professional attentive service inflight meal meet expectation business class
337,complaint late arrival miss aex train
338,mel mnl mel hkg a330 300 aircraft good service leg time flight attendant attentive food inflight entertainment superb definitely recommend fly
339,return trip jfk bangkok hong kong good fly experience
340,new flat bed seat comfortable sit lie easy function choice wine limited drawer flight crew sector slack
341,long flight important arrive end relaxed frame mind think cathay business class great order use
342,cx724 kul hkg 7th july ticket check quick easy use lounge nice time shower
343,seat 40k 777 300 like business airline europe 3hr 30min flight service friendly crew food good time departure arrival good flight use anytime
344,year fly sydney hong kong flight delay hour wasn bad
345,onboard flight food good economy class ticket seat comfortable entertainment excellent
346,flight attendant nice pleasant helpful
347,overall flight good pleasant recommend decide airline fly consider fly cathay pacific airway
348,nice good service channel available like old aircraft a330 300 boeing 772 old seat old set
349,meal good bathroom clean staff friendly
350,fly syd hkg pek december time delay syd february delay minute
351,
352,seat comfortable inflight entertainment
353,hkg nrt good service plane new good entertainment excellent service
354,staff friendly seat new shell design win disturb person
355,nkg hkg sfo hkg nkg round trip cheap price compare singapore airline china eastern air china obviously good service compare chinese airline
356,a321 a330 nkg hkg b747 b777 hkg sfo nice food friendly staff tell blanket trip hkg nkg luckily hour flight
357,leg space provide excellent b747 flight satisfactory b777 especially hour flight
358,shanghai pudong taipei taoyuan new b77w lounge pudong disaster china eastern lounge layout economy class cabin uncomfortable friendly cabin crew wonderful ife hot lunch serve 1hour minute journey
359,taipei songshan shanghai hongqiao old a330 300 clean maintained nice cabin crew good lunch serve wonderful lounge songshan airport plenty hot food drink
360,travel sydney australia tokyo japan plane new clean food excellent airline staff immaculate friendly budget price pay wrong airline
361,sydney shanghai return overall worth money relatively cheap food edible plane new toilet clean flight seat wide average height passenger
362,concern staff service smile entire flight
363,travel air china cheap time flight time delay leg journey a340 bad food reasonable second leg shanghai sydney plane old food inedible cold
364,drink provide meal air hostess command english poor
365,way food awful leg badly behave child ask alcoholic drink tell dinner entertainment antiquate date movie chinese temperamental
366,worth pay extra good trip long haul flight need
367,december 2013 fly australia shanghai return week later flight time business class seat great able lay flat bonus
368,food fantastic service flight class impressed fly
369,shanghai beij return expect surprised high level service great food beverage comfortable seating consider domestic flight
370,verify review china southern airline guangzhou bali return flight time hour
371,flight attendant helpful friendly
372,clean airplane flight time
373,service excellent friendly
374,food okay economy class
375,seat good leg space
376,board entertainment excellent
377,verify review china southern airline guangzhou sydney flight time hour
378,friendly staff clean airplane flight time
381,seat good leg space
383,verify review china southern airline dalian beij flight time minute
384,friendly staff clean airplane flight time onboard entertainment good
385,flight time short meal water small snack
386,seating standard okay economy class maybe new plane good seat space short domestic flight
387,verify review excellent value service good
388,guangzhou beij seat comfortable
389,cabin crew attentive friendly helpful
390,service prompt efficient overall pleasant flight
391,price pay good value money business class
392,verify review family enjoy fantastic flight china southern airline guangzhou new york april 5th 2016
393,cabin crew excellent good service trip unforgettable
